Date,DateKey,Day,Month,MonthNo,MonthShort,Quarter,Year
2019-09-06 00:00:00,20190906,Friday,September,9,Sep,3,2019
2019-09-07 00:00:00,20190907,Saturday,September,9,Sep,3,2019
2019-09-08 00:00:00,20190908,Sunday,September,9,Sep,3,2019
2019-09-09 00:00:00,20190909,Monday,September,9,Sep,3,2019
2019-09-10 00:00:00,20190910,Tuesday,September,9,Sep,3,2019
2019-09-11 00:00:00,20190911,Wednesday,September,9,Sep,3,2019
2019-09-12 00:00:00,20190912,Thursday,September,9,Sep,3,2019
2019-09-13 00:00:00,20190913,Friday,September,9,Sep,3,2019
2019-09-14 00:00:00,20190914,Saturday,September,9,Sep,3,2019
2019-09-15 00:00:00,20190915,Sunday,September,9,Sep,3,2019
2019-09-16 00:00:00,20190916,Monday,September,9,Sep,3,2019
2019-09-17 00:00:00,20190917,Tuesday,September,9,Sep,3,2019
2019-09-18 00:00:00,20190918,Wednesday,September,9,Sep,3,2019
2019-09-19 00:00:00,20190919,Thursday,September,9,Sep,3,2019
2019-09-20 00:00:00,20190920,Friday,September,9,Sep,3,2019
2019-09-21 00:00:00,20190921,Saturday,September,9,Sep,3,2019
2019-09-22 00:00:00,20190922,Sunday,September,9,Sep,3,2019
2019-09-23 00:00:00,20190923,Monday,September,9,Sep,3,2019
2019-09-24 00:00:00,20190924,Tuesday,September,9,Sep,3,2019
2019-09-25 00:00:00,20190925,Wednesday,September,9,Sep,3,2019
2019-09-26 00:00:00,20190926,Thursday,September,9,Sep,3,2019
2019-09-27 00:00:00,20190927,Friday,September,9,Sep,3,2019
2019-09-28 00:00:00,20190928,Saturday,September,9,Sep,3,2019
2019-09-29 00:00:00,20190929,Sunday,September,9,Sep,3,2019
2019-09-30 00:00:00,20190930,Monday,September,9,Sep,3,2019
2019-10-01 00:00:00,20191001,Tuesday,October,10,Oct,4,2019
2019-10-02 00:00:00,20191002,Wednesday,October,10,Oct,4,2019
2019-10-03 00:00:00,20191003,Thursday,October,10,Oct,4,2019
2019-10-04 00:00:00,20191004,Friday,October,10,Oct,4,2019
2019-10-05 00:00:00,20191005,Saturday,October,10,Oct,4,2019
2019-10-06 00:00:00,20191006,Sunday,October,10,Oct,4,2019
2019-10-07 00:00:00,20191007,Monday,October,10,Oct,4,2019
2019-10-08 00:00:00,20191008,Tuesday,October,10,Oct,4,2019
2019-10-09 00:00:00,20191009,Wednesday,October,10,Oct,4,2019
2019-10-10 00:00:00,20191010,Thursday,October,10,Oct,4,2019
2019-10-11 00:00:00,20191011,Friday,October,10,Oct,4,2019
2019-10-12 00:00:00,20191012,Saturday,October,10,Oct,4,2019
2019-10-13 00:00:00,20191013,Sunday,October,10,Oct,4,2019
2019-10-14 00:00:00,20191014,Monday,October,10,Oct,4,2019
2019-10-15 00:00:00,20191015,Tuesday,October,10,Oct,4,2019
2019-10-16 00:00:00,20191016,Wednesday,October,10,Oct,4,2019
2019-10-17 00:00:00,20191017,Thursday,October,10,Oct,4,2019
2019-10-18 00:00:00,20191018,Friday,October,10,Oct,4,2019
2019-10-19 00:00:00,20191019,Saturday,October,10,Oct,4,2019
2019-10-20 00:00:00,20191020,Sunday,October,10,Oct,4,2019
2019-10-21 00:00:00,20191021,Monday,October,10,Oct,4,2019
2019-10-22 00:00:00,20191022,Tuesday,October,10,Oct,4,2019
2019-10-23 00:00:00,20191023,Wednesday,October,10,Oct,4,2019
2019-10-24 00:00:00,20191024,Thursday,October,10,Oct,4,2019
2019-10-25 00:00:00,20191025,Friday,October,10,Oct,4,2019
2019-10-26 00:00:00,20191026,Saturday,October,10,Oct,4,2019
2019-10-27 00:00:00,20191027,Sunday,October,10,Oct,4,2019
2019-10-28 00:00:00,20191028,Monday,October,10,Oct,4,2019
2019-10-29 00:00:00,20191029,Tuesday,October,10,Oct,4,2019
2019-10-30 00:00:00,20191030,Wednesday,October,10,Oct,4,2019
2019-10-31 00:00:00,20191031,Thursday,October,10,Oct,4,2019
2019-11-01 00:00:00,20191101,Friday,November,11,Nov,4,2019
2019-11-02 00:00:00,20191102,Saturday,November,11,Nov,4,2019
2019-11-03 00:00:00,20191103,Sunday,November,11,Nov,4,2019
2019-11-04 00:00:00,20191104,Monday,November,11,Nov,4,2019
2019-11-05 00:00:00,20191105,Tuesday,November,11,Nov,4,2019
2019-11-06 00:00:00,20191106,Wednesday,November,11,Nov,4,2019
2019-11-07 00:00:00,20191107,Thursday,November,11,Nov,4,2019
2019-11-08 00:00:00,20191108,Friday,November,11,Nov,4,2019
2019-11-09 00:00:00,20191109,Saturday,November,11,Nov,4,2019
2019-11-10 00:00:00,20191110,Sunday,November,11,Nov,4,2019
2019-11-11 00:00:00,20191111,Monday,November,11,Nov,4,2019
2019-11-12 00:00:00,20191112,Tuesday,November,11,Nov,4,2019
2019-11-13 00:00:00,20191113,Wednesday,November,11,Nov,4,2019
2019-11-14 00:00:00,20191114,Thursday,November,11,Nov,4,2019
2019-11-15 00:00:00,20191115,Friday,November,11,Nov,4,2019
2019-11-16 00:00:00,20191116,Saturday,November,11,Nov,4,2019
2019-11-17 00:00:00,20191117,Sunday,November,11,Nov,4,2019
2019-11-18 00:00:00,20191118,Monday,November,11,Nov,4,2019
2019-11-19 00:00:00,20191119,Tuesday,November,11,Nov,4,2019
2019-11-20 00:00:00,20191120,Wednesday,November,11,Nov,4,2019
2019-11-21 00:00:00,20191121,Thursday,November,11,Nov,4,2019
2019-11-22 00:00:00,20191122,Friday,November,11,Nov,4,2019
2019-11-23 00:00:00,20191123,Saturday,November,11,Nov,4,2019
2019-11-24 00:00:00,20191124,Sunday,November,11,Nov,4,2019
2019-11-25 00:00:00,20191125,Monday,November,11,Nov,4,2019
2019-11-26 00:00:00,20191126,Tuesday,November,11,Nov,4,2019
2019-11-27 00:00:00,20191127,Wednesday,November,11,Nov,4,2019
2019-11-28 00:00:00,20191128,Thursday,November,11,Nov,4,2019
2019-11-29 00:00:00,20191129,Friday,November,11,Nov,4,2019
2019-11-30 00:00:00,20191130,Saturday,November,11,Nov,4,2019
2019-12-01 00:00:00,20191201,Sunday,December,12,Dec,4,2019
2019-12-02 00:00:00,20191202,Monday,December,12,Dec,4,2019
2019-12-03 00:00:00,20191203,Tuesday,December,12,Dec,4,2019
2019-12-04 00:00:00,20191204,Wednesday,December,12,Dec,4,2019
2019-12-05 00:00:00,20191205,Thursday,December,12,Dec,4,2019
2019-12-06 00:00:00,20191206,Friday,December,12,Dec,4,2019
2019-12-07 00:00:00,20191207,Saturday,December,12,Dec,4,2019
2019-12-08 00:00:00,20191208,Sunday,December,12,Dec,4,2019
2019-12-09 00:00:00,20191209,Monday,December,12,Dec,4,2019
2019-12-10 00:00:00,20191210,Tuesday,December,12,Dec,4,2019
2019-12-11 00:00:00,20191211,Wednesday,December,12,Dec,4,2019
2019-12-12 00:00:00,20191212,Thursday,December,12,Dec,4,2019
2019-12-13 00:00:00,20191213,Friday,December,12,Dec,4,2019
2019-12-14 00:00:00,20191214,Saturday,December,12,Dec,4,2019
2019-12-15 00:00:00,20191215,Sunday,December,12,Dec,4,2019
2019-12-16 00:00:00,20191216,Monday,December,12,Dec,4,2019
2019-12-17 00:00:00,20191217,Tuesday,December,12,Dec,4,2019
2019-12-18 00:00:00,20191218,Wednesday,December,12,Dec,4,2019
2019-12-19 00:00:00,20191219,Thursday,December,12,Dec,4,2019
2019-12-20 00:00:00,20191220,Friday,December,12,Dec,4,2019
2019-12-21 00:00:00,20191221,Saturday,December,12,Dec,4,2019
2019-12-22 00:00:00,20191222,Sunday,December,12,Dec,4,2019
2019-12-23 00:00:00,20191223,Monday,December,12,Dec,4,2019
2019-12-24 00:00:00,20191224,Tuesday,December,12,Dec,4,2019
2019-12-25 00:00:00,20191225,Wednesday,December,12,Dec,4,2019
2019-12-26 00:00:00,20191226,Thursday,December,12,Dec,4,2019
2019-12-27 00:00:00,20191227,Friday,December,12,Dec,4,2019
2019-12-28 00:00:00,20191228,Saturday,December,12,Dec,4,2019
2019-12-29 00:00:00,20191229,Sunday,December,12,Dec,4,2019
2019-12-30 00:00:00,20191230,Monday,December,12,Dec,4,2019
2019-12-31 00:00:00,20191231,Tuesday,December,12,Dec,4,2019
2020-01-01 00:00:00,20200101,Wednesday,January,1,Jan,1,2020
2020-01-02 00:00:00,20200102,Thursday,January,1,Jan,1,2020
2020-01-03 00:00:00,20200103,Friday,January,1,Jan,1,2020
2020-01-04 00:00:00,20200104,Saturday,January,1,Jan,1,2020
2020-01-05 00:00:00,20200105,Sunday,January,1,Jan,1,2020
2020-01-06 00:00:00,20200106,Monday,January,1,Jan,1,2020
2020-01-07 00:00:00,20200107,Tuesday,January,1,Jan,1,2020
2020-01-08 00:00:00,20200108,Wednesday,January,1,Jan,1,2020
2020-01-09 00:00:00,20200109,Thursday,January,1,Jan,1,2020
2020-01-10 00:00:00,20200110,Friday,January,1,Jan,1,2020
2020-01-11 00:00:00,20200111,Saturday,January,1,Jan,1,2020
2020-01-12 00:00:00,20200112,Sunday,January,1,Jan,1,2020
2020-01-13 00:00:00,20200113,Monday,January,1,Jan,1,2020
2020-01-14 00:00:00,20200114,Tuesday,January,1,Jan,1,2020
2020-01-15 00:00:00,20200115,Wednesday,January,1,Jan,1,2020
2020-01-16 00:00:00,20200116,Thursday,January,1,Jan,1,2020
2020-01-17 00:00:00,20200117,Friday,January,1,Jan,1,2020
2020-01-18 00:00:00,20200118,Saturday,January,1,Jan,1,2020
2020-01-19 00:00:00,20200119,Sunday,January,1,Jan,1,2020
2020-01-20 00:00:00,20200120,Monday,January,1,Jan,1,2020
2020-01-21 00:00:00,20200121,Tuesday,January,1,Jan,1,2020
2020-01-22 00:00:00,20200122,Wednesday,January,1,Jan,1,2020
2020-01-23 00:00:00,20200123,Thursday,January,1,Jan,1,2020
2020-01-24 00:00:00,20200124,Friday,January,1,Jan,1,2020
2020-01-25 00:00:00,20200125,Saturday,January,1,Jan,1,2020
2020-01-26 00:00:00,20200126,Sunday,January,1,Jan,1,2020
2020-01-27 00:00:00,20200127,Monday,January,1,Jan,1,2020
2020-01-28 00:00:00,20200128,Tuesday,January,1,Jan,1,2020
2020-01-29 00:00:00,20200129,Wednesday,January,1,Jan,1,2020
2020-01-30 00:00:00,20200130,Thursday,January,1,Jan,1,2020
2020-01-31 00:00:00,20200131,Friday,January,1,Jan,1,2020
2020-02-01 00:00:00,20200201,Saturday,February,2,Feb,1,2020
2020-02-02 00:00:00,20200202,Sunday,February,2,Feb,1,2020
